Total Tests,Range Test Size,Number of Segments Test Size,Runtime
204.0,34.0,6.0,0.1150507926940918
714.0,34.0,21.0,0.33499956130981445
578.0,34.0,17.0,0.294999361038208
680.0,34.0,20.0,0.3520336151123047
136.0,34.0,4.0,0.05005073547363281
102.0,34.0,3.0,0.046060800552368164
272.0,34.0,8.0,0.15000152587890625
7200.0,600.0,12.0,3.022057294845581
9600.0,600.0,16.0,4.788947582244873
6600.0,600.0,11.0,4.007944583892822
4200.0,600.0,7.0,2.3890533447265625
3600.0,600.0,6.0,1.544999122619629
12600.0,600.0,21.0,6.077944040298462
10200.0,600.0,17.0,5.3640525341033936
12000.0,600.0,20.0,6.013997793197632
2400.0,600.0,4.0,1.7350003719329834
1800.0,600.0,3.0,0.6250011920928955
4800.0,600.0,8.0,2.6100006103515625
11544.0,962.0,12.0,6.1170525550842285
15392.0,962.0,16.0,7.366999387741089
10582.0,962.0,11.0,5.497052431106567
6734.0,962.0,7.0,4.218999862670898
5772.0,962.0,6.0,3.4379994869232178
20202.0,962.0,21.0,11.319011211395264
16354.0,962.0,17.0,8.638991594314575
19240.0,962.0,20.0,9.372948169708252
3848.0,962.0,4.0,2.3649635314941406
2886.0,962.0,3.0,1.7499463558197021
7696.0,962.0,8.0,3.5750527381896973
10716.0,893.0,12.0,5.125003814697266
14288.0,893.0,16.0,6.64799952507019
9823.0,893.0,11.0,4.080005645751953
6251.0,893.0,7.0,2.4700028896331787
5358.0,893.0,6.0,1.789052963256836
18753.0,893.0,21.0,9.995000123977661
15181.0,893.0,17.0,7.7120537757873535
17860.0,893.0,20.0,10.22800588607788
3572.0,893.0,4.0,2.746004819869995
2679.0,893.0,3.0,0.9499392509460449
7144.0,893.0,8.0,3.1920056343078613
7824.0,652.0,12.0,3.675940990447998
10432.0,652.0,16.0,4.64099383354187
7172.0,652.0,11.0,3.9529964923858643
4564.0,652.0,7.0,1.5340576171875
3912.0,652.0,6.0,2.156991720199585
13692.0,652.0,21.0,7.6090521812438965
11084.0,652.0,17.0,5.427999973297119
13040.0,652.0,20.0,6.676992893218994
2608.0,652.0,4.0,1.5240581035614014
1956.0,652.0,3.0,1.3569977283477783
5216.0,652.0,8.0,2.129000663757324
5676.0,473.0,12.0,3.2419955730438232
7568.0,473.0,16.0,3.9180004596710205
5203.0,473.0,11.0,2.451998233795166
3311.0,473.0,7.0,1.4230067729949951
2838.0,473.0,6.0,1.4270637035369873
9933.0,473.0,21.0,5.070000410079956
8041.0,473.0,17.0,3.389051675796509
